169.254.0.16/28|169.254.0.16/30|169.254.0.20/30|169.254.0.24/30|169.254.0.28/30|
169.254.1.160/28|169.254.1.160/30|169.254.1.164/30|169.254.1.168/30|169.254.1.172/30|
169.254.1.176/28|169.254.1.176/30|169.254.1.180/30|169.254.1.184/30|169.254.1.188/30|
169.254.1.192/28|169.254.1.192/30|169.254.1.196/30|169.254.1.200/30|169.254.1.204/30|
169.254.1.208/28|169.254.1.208/30|169.254.1.212/30|169.254.1.216/30|169.254.1.220/30|
169.254.1.224/28|169.254.1.224/30|169.254.1.228/30|169.254.1.232/30|169.254.1.236/30|
169.254.1.240/28|169.254.1.240/30|169.254.1.244/30|169.254.1.248/30|169.254.1.252/30|
169.254.2.16/28|169.254.2.16/30|169.254.2.20/30|169.254.2.24/30|169.254.2.28/30|
169.254.2.32/28|169.254.2.32/30|169.254.2.36/30|169.254.2.40/30|169.254.2.44/30|
169.254.2.48/28|169.254.2.48/30|169.254.2.52/30|169.254.2.56/30|169.254.2.60/30|
169.254.2.64/28|169.254.2.64/30|169.254.2.68/30|169.254.2.72/30|169.254.2.76/30|
169.254.2.80/28|169.254.2.80/30|169.254.2.84/30|169.254.2.88/30|169.254.2.92/30|
169.254.2.96/28|169.254.2.96/30|169.254.2.100/30|169.254.2.104/30|169.254.2.108/30|
169.254.2.112/28|169.254.2.112/30|169.254.2.116/30|169.254.2.120/30|169.254.2.124/30|
169.254.2.128/28|169.254.2.128/30|169.254.2.132/30|169.254.2.136/30|169.254.2.140/30|
169.254.2.144/28|169.254.2.144/30|169.254.2.148/30|169.254.2.152/30|169.254.2.156/30|
169.254.2.160/28|169.254.2.160/30|169.254.2.164/30|169.254.2.168/30|169.254.2.172/30|
169.254.2.176/28|169.254.2.176/30|169.254.2.180/30|169.254.2.184/30|169.254.2.188/30|
169.254.2.192/28|169.254.2.192/30|169.254.2.196/30|169.254.2.200/30|169.254.2.204/30|
169.254.2.208/28|169.254.2.208/30|169.254.2.212/30|169.254.2.216/30|169.254.2.220/30|
169.254.2.224/28|169.254.2.224/30|169.254.2.228/30|169.254.2.232/30|169.254.2.236/30|
169.254.2.240/28|169.254.2.240/30|169.254.2.244/30|169.254.2.248/30|169.254.2.252/30|
169.254.3.16/28|169.254.3.16/30|169.254.3.20/30|169.254.3.24/30|169.254.3.28/30|
169.254.3.32/28|169.254.3.32/30|169.254.3.36/30|169.254.3.40/30|169.254.3.44/30|
169.254.3.48/28|169.254.3.48/30|169.254.3.52/30|169.254.3.56/30|169.254.3.60/30|
169.254.3.64/28|169.254.3.64/30|169.254.3.68/30|169.254.3.72/30|169.254.3.76/30|
169.254.3.80/28|169.254.3.80/30|169.254.3.84/30|169.254.3.88/30|169.254.3.92/30|
169.254.3.96/28|169.254.3.96/30|169.254.3.100/30|169.254.3.104/30|169.254.3.108/30|
169.254.3.112/28|169.254.3.112/30|169.254.3.116/30|169.254.3.120/30|169.254.3.124/30|
169.254.3.128/28|169.254.3.128/30|169.254.3.132/30|169.254.3.136/30|169.254.3.140/30|
169.254.3.144/28|169.254.3.144/30|169.254.3.148/30|169.254.3.152/30|169.254.3.156/30|
169.254.3.160/28|169.254.3.160/30|169.254.3.164/30|169.254.3.168/30|169.254.3.172/30|
169.254.3.176/28|169.254.3.176/30|169.254.3.180/30|169.254.3.184/30|169.254.3.188/30|
169.254.3.192/28|169.254.3.192/30|169.254.3.196/30|169.254.3.200/30|169.254.3.204/30|
169.254.3.208/28|169.254.3.208/30|169.254.3.212/30|169.254.3.216/30|169.254.3.220/30|
169.254.3.224/28|169.254.3.224/30|169.254.3.228/30|169.254.3.232/30|169.254.3.236/30|
169.254.3.240/28|169.254.3.240/30|169.254.3.244/30|169.254.3.248/30|169.254.3.252/30|
169.254.4.16/28|169.254.4.16/30|169.254.4.20/30|169.254.4.24/30|169.254.4.28/30|
169.254.4.32/28|169.254.4.32/30|169.254.4.36/30|169.254.4.40/30|169.254.4.44/30|
169.254.4.48/28|169.254.4.48/30|169.254.4.52/30|169.254.4.56/30|169.254.4.60/30|
169.254.4.64/28|169.254.4.64/30|169.254.4.68/30|169.254.4.72/30|169.254.4.76/30|
169.254.4.80/28|169.254.4.80/30|169.254.4.84/30|169.254.4.88/30|169.254.4.92/30|
169.254.4.96/28|169.254.4.96/30|169.254.4.100/30|169.254.4.104/30|169.254.4.108/30|
169.254.4.112/28|169.254.4.112/30|169.254.4.116/30|169.254.4.120/30|169.254.4.124/30|
169.254.4.128/28|169.254.4.128/30|169.254.4.132/30|169.254.4.136/30|169.254.4.140/30|
169.254.4.144/28|169.254.4.144/30|169.254.4.148/30|169.254.4.152/30|169.254.4.156/30|
169.254.4.160/28|169.254.4.160/30|169.254.4.164/30|169.254.4.168/30|169.254.4.172/30|
169.254.4.176/28|169.254.4.176/30|169.254.4.180/30|169.254.4.184/30|169.254.4.188/30|
169.254.4.192/28|169.254.4.192/30|169.254.4.196/30|169.254.4.200/30|169.254.4.204/30|
169.254.4.208/28|169.254.4.208/30|169.254.4.212/30|169.254.4.216/30|169.254.4.220/30|
169.254.4.224/28|169.254.4.224/30|169.254.4.228/30|169.254.4.232/30|169.254.4.236/30|
169.254.4.240/28|169.254.4.240/30|169.254.4.244/30|169.254.4.248/30|169.254.4.252/30|
169.254.5.16/28|169.254.5.16/30|169.254.5.20/30|169.254.5.24/30|169.254.5.28/30|
169.254.5.32/28|169.254.5.32/30|169.254.5.36/30|169.254.5.40/30|169.254.5.44/30|
169.254.5.48/28|169.254.5.48/30|169.254.5.52/30|169.254.5.56/30|169.254.5.60/30|
169.254.5.64/28|169.254.5.64/30|169.254.5.68/30|169.254.5.72/30|169.254.5.76/30|
169.254.5.80/28|169.254.5.80/30|169.254.5.84/30|169.254.5.88/30|169.254.5.92/30|
169.254.5.96/28|169.254.5.96/30|169.254.5.100/30|169.254.5.104/30|169.254.5.108/30|
169.254.5.112/28|169.254.5.112/30|169.254.5.116/30|169.254.5.120/30|169.254.5.124/30|
169.254.5.128/28|169.254.5.128/30|169.254.5.132/30|169.254.5.136/30|169.254.5.140/30|
169.254.5.144/28|169.254.5.144/30|169.254.5.148/30|169.254.5.152/30|169.254.5.156/30|
169.254.5.160/28|169.254.5.160/30|169.254.5.164/30|169.254.5.168/30|169.254.5.172/30|
169.254.5.176/28|169.254.5.176/30|169.254.5.180/30|169.254.5.184/30|169.254.5.188/30|
169.254.5.192/28|169.254.5.192/30|169.254.5.196/30|169.254.5.200/30|169.254.5.204/30|
169.254.5.208/28|169.254.5.208/30|169.254.5.212/30|169.254.5.216/30|169.254.5.220/30|
169.254.5.224/28|169.254.5.224/30|169.254.5.228/30|169.254.5.232/30|169.254.5.236/30|
169.254.5.240/28|169.254.5.240/30|169.254.5.244/30|169.254.5.248/30|169.254.5.252/30|
169.254.6.0/28|169.254.6.0/30|169.254.6.4/30|169.254.6.8/30|169.254.6.12/30|
169.254.6.16/28|169.254.6.16/30|169.254.6.20/30|169.254.6.24/30|169.254.6.28/30|
169.254.6.32/28|169.254.6.32/30|169.254.6.36/30|169.254.6.40/30|169.254.6.44/30|
169.254.6.48/28|169.254.6.48/30|169.254.6.52/30|169.254.6.56/30|169.254.6.60/30|
169.254.6.64/28|169.254.6.64/30|169.254.6.68/30|169.254.6.72/30|169.254.6.76/30|
169.254.6.80/28|169.254.6.80/30|169.254.6.84/30|169.254.6.88/30|169.254.6.92/30|
169.254.6.96/28|169.254.6.96/30|169.254.6.100/30|169.254.6.104/30|169.254.6.108/30|
169.254.6.112/28|169.254.6.112/30|169.254.6.116/30|169.254.6.120/30|169.254.6.124/30|
169.254.6.128/28|169.254.6.128/30|169.254.6.132/30|169.254.6.136/30|169.254.6.140/30|
169.254.247.176/28|169.254.247.176/30|169.254.247.180/30|169.254.247.184/30|169.254.247.188/30|
